"Age" "Resident" "Attitude.Reduce.Bill" "Attitude.Environment" "Bedroom" "Education" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121"
"19" 3 2 1 1 3 5 40.063 38.14 41.999 35.806 48.83 33.674 38.446 27.903 33.426 26.561 35.219 37.922 45.911 26.836 27.051 58.425 39.481 35.812 56.556 31.332 39.098 36.248 34.377 46.98 23.269 35.601 35.524 30.985 37.395 49.745 34.203 36.164 34.678 27.505 36.631 30.616 39.834 38.54 42.92 28.793 44.731 22.63 34.376 52.483 42.073 34.134 26.522 38.216 41.75 38.37 37.536 38.778 41.219 36.762 38.073 40.494 38.378 36.585 37.196 37.564 36.966 35.717 41.054 44.26 34.228 37.506 39.099 35.002 35.94 38.717 41.611 38.866 43.188 43.935 36.079 36.225 38.002 41.518 39.016 39.683 39.087 40.557 35.872 47.6 35.064 41.95 34.225 34.434 40.547 35.682 40.969 44.843 35.189 39.289 38.537 37.99 35.506 38.763 42.155 37.668 36.866 36.304 38.81 35.867 45.667 36.411 36.717 38.944 35.888 39.619 37.023 41.272 43.287 37.298 40.416 36.418 35.781 36.229 35.593 34.7 38.554
"56" 2 2 2 2 4 5 18.79 15.244 16.311 15.68 23.439 20.218 17.091 20.833 22.458 14.335 17.418 25.687 21.469 24.696 14.86 13.427 17.249 13.395 20.811 29.726 27.451 28.843 24.605 24.959 23.418 21.803 20.959 25.328 22.51 25.504 18.147 21.126 15.963 19.083 24.116 24.621 37.323 18.096 18.917 34.986 42.475 34.258 31.228 29.637 21.076 22.673 36.835 27.614 26.249 26.391 30.162 27.983 28.705 27.325 26.963 28.542 29.685 27.359 26.566 30.008 26.978 26.511 27.347 23.979 24.106 26.789 26.667 26.64 26.751 27.749 29.587 27.992 26.945 26.075 26.383 26.01 26.192 26.874 27.669 26.796 30.353 29.778 28.347 27.156 27.891 29.581 26.929 26.974 27.662 28.519 29.52 26.188 27.812 26.436 26.851 26.055 28.537 28.52 27.369 27.804 27.82 25.977 29.009 29.823 28.122 25.521 27.477 25.915 25.96 24.979 28.109 28.654 27.839 24.63 24.974 24.754 28.091 26.647 26.396 29.365 25.554
"84" 3 1 1 4 2 3 28.987 27.842 21.867 25.234 24.102 29.673 30.71 24.086 27.92 31.693 14.21 34.266 22.93 35.799 28.024 36.394 24.474 36.534 19.233 29.192 26.983 43.873 20.373 24.697 25.666 19.945 31.865 28.062 34.497 31.162 19.973 27.515 28.71 29.603 16.309 42.072 28.022 39.819 23.638 41.239 26.527 45.43 34.44 25.988 24.307 31.444 34.843 19.995 18.875 16.752 15.883 19.922 24.274 16.037 17.206 15.576 16.862 23.735 17.784 16.371 21.202 15.879 16.226 16.918 18.731 16.195 15.981 15.827 17.673 15.842 15.718 15.888 18.623 15.763 18.872 15.589 16.323 15.655 15.477 18.329 15.787 16.169 15.567 15.658 21.194 15.774 17.786 17.246 19.335 15.809 15.508 16.545 17.016 15.806 18.069 21.236 17.253 14.627 15.396 17.147 15.874 16.28 16.016 17.308 17.62 15.936 18.633 16.549 15.683 18.152 17.012 15.965 16.916 15.535 16.354 16.377 19.216 16.635 16 16.225 18.851
"91" 3 2 1 1 3 4 27.958 50.075 31.616 54.245 61.454 42.392 37.487 40.877 34.74 52.851 36.999 50.101 37.042 21.914 28.684 47.427 27.1 37.531 42.392 41.75 22.95 54.591 25.062 33.038 48.377 48.451 41.013 28.203 34.153 30.209 25.818 56.217 45.174 34.643 33.833 47.285 32.875 53.636 50.761 59.253 34.671 22.525 48.28 43.083 29.417 31.413 48.617 46.971 52.456 43.503 48.613 43.875 55.824 43.038 49.977 44.62 42.224 47.487 42.506 45.807 50.955 42.862 53.063 47.556 51.196 45.643 47.565 43.641 46.305 53.161 51.295 50.424 45.312 50.614 44.45 47.305 53.612 44.895 43.912 45.055 47.725 45.56 44.967 44.569 44.836 47.279 54.755 49.939 42.902 44.46 48.343 43.099 43.856 52.61 46.017 44.455 49.639 43.84 48.553 43.091 49.344 46.161 52.504 41.043 42.89 48.757 58.488 44.926 43.469 44.904 41.77 46.709 40.596 42.184 42.953 45.545 45.579 50.929 46.229 43.912 47.551
"118" 2 3 1 1 4 5 15.851 23.921 25.42 26.047 23.021 31.34 31.492 16.077 20.629 21.442 18.213 19.373 23.205 22.882 17.959 23.397 24.711 17.071 13.642 19.007 26.758 15.454 20.636 29.185 20.977 17.159 29.543 22.873 11.354 15.59 19.362 20.318 19.457 24.223 23.866 11.175 18.637 16.27 18.059 41.507 71.38 35.864 30.149 40.08 26.275 19.594 14.372 15.691 18.326 14.533 17.971 20.494 17.487 21.614 13.99 15.652 17.675 16.286 13.059 16.993 16.535 19.598 19.181 16.031 17.79 17.184 17.016 13.275 18.543 15.892 13.838 19.638 17.463 13.342 14.685 16.42 11.715 15.489 18.99 17.52 17.369 12.339 20.752 19.592 14.781 18.296 16.39 20.102 11.374 18.554 14.74 12.488 14.484 17.085 14.967 15.533 19.486 14.414 12.575 16.036 13.824 15.593 13.702 15.845 11.876 13.221 19.021 17.558 16.688 12.675 13.976 11.871 12.218 16.976 15.903 16.031 20.562 17.735 11.671 11.555 12.951
"177" 6 2 1 1 3 5 18.278 27.918 37.354 24.257 16.554 22.292 34.137 12.18 19.965 25.614 15.285 20.578 15.277 27.656 10.119 16.788 17.979 29.539 10.751 19.306 17.754 14.464 15.456 12.374 31.609 24.219 15.945 21.811 20.432 18.103 17.977 19.26 25.387 25.443 22.226 25.3 27.182 32.126 15.924 21.847 25.723 18.411 10.544 12.907 12.792 20.254 24.57 18.245 18.921 20.412 20.68 25.763 23.227 20.234 21.477 18.59 18.337 18.559 22.704 22.413 22.977 19.502 26.619 24.311 21.42 19.706 19.241 19.986 19.912 18.581 21.259 23.614 18.534 18.284 18.756 17.685 19.168 17.302 18.342 17.794 17.086 19.159 17.904 18.412 24.067 17.926 21.24 18.906 18.14 18.242 18.216 18.611 20.464 19.29 18.801 17.4 18.76 22.234 23.396 20.559 18.164 18.211 18.134 18.52 20.161 17.483 18.583 18.586 18.491 19.977 18.324 19.83 19.73 17.419 20.56 23.087 17.471 21.611 17.633 16.469 18.685
"201" 3 3 1 3 3 4 24.445 22.918 19.097 24.036 24.88 26.052 44.541 24.74 24.446 21.421 21.394 20.884 28.228 37.063 30.931 24.642 24.19 25.378 30.006 37.323 42.88 32.756 23.846 25.642 23.881 27.056 43.295 39.5 25.32 21.949 27.437 21.701 25.497 27.997 28.137 27.372 27.758 27.396 21.172 32.61 34.763 38.556 32.661 40.24 29.772 31.796 27.213 27.641 26.732 32.194 34.085 27.852 26.164 26.751 27.779 26.718 25.467 27.353 24.082 30.933 30.465 27.18 27.68 27.065 26.496 28.479 25.354 25.522 27.569 24.503 26.624 25.381 24.582 26.98 26.157 25.445 25.848 26.74 28.519 27.367 25.58 29.686 24.83 26.08 25.263 26.133 25.191 25.644 24.952 27.873 26.759 24.19 24.247 25.131 27.21 25.116 26.762 29.336 24.693 25.946 25.308 24.867 25.447 25.605 32.672 24.703 28.746 25.218 24.882 26.946 27.32 26.225 30.54 25.399 25.282 24.041 24.51 24.764 24.477 22.932 27.82
"263" 5 2 1 1 4 5 20.971 21.853 19.533 20.92 20.567 20.235 34.152 36.914 31.928 31.534 26.244 27.446 33.84 48.406 33.801 26.91 25.825 32.369 36.567 27.706 57.119 60.436 32.079 33.56 35.081 44.321 31.501 48.591 38.618 33.793 37.182 46.692 48.235 48.996 53.753 40.045 53.948 43.143 63.558 129.761 176.056 109.56 47.475 70.304 31.042 58.254 62.313 28.054 48.729 42.646 27.116 25.618 29.528 28.265 23.988 29.806 28.896 26.305 23.811 27.715 28.468 28.14 26.001 22.988 29.247 26.532 28.061 24.768 28.232 27.789 27.37 28.491 23.207 22.523 25.429 30.324 28.801 30.183 25.486 25.07 21.517 21.108 21.838 22.172 21.056 21.139 20.959 20.865 20.805 23.147 28.284 28.502 26.935 23.988 23.7 29.991 28.383 26.841 27.798 32.08 30.325 26.403 25.113 25.05 22.727 28.489 26.135 30.251 26.355 30.187 23.057 23.382 24.303 27.114 27.513 28.087 24.662 26.423 28.435 26.197 27.614
"298" 6 2 1 1 5 4 62.264 50.199 44.011 47.842 42.628 37.891 27.246 41.153 27.537 24.566 21.85 23.116 26.079 39.889 42.735 39.233 70.062 69.345 42.693 87.841 62.299 69.403 57.701 55.611 60.227 22.191 29.643 53.166 46.601 41.575 28.024 32.79 45.628 84.398 110.984 87.64 81.734 70.693 82.957 96.871 86.685 31.034 49.728 72.776 48.085 60.845 52.284 23.82 29.431 30.248 23.951 25.39 26.989 23.481 29.155 26.745 24.579 23.164 29.857 25.69 25.726 26.921 22.476 25.739 26.529 24.358 23.803 25.175 23.318 33.01 22.582 22.82 21.287 23.683 22.991 24.027 18.031 21.928 31.499 34.992 26.692 28.273 27.629 20.17 24.011 22.252 29.038 27.06 25.487 23.111 20.68 26.579 25.694 28.618 24.361 22.394 32.487 49.535 20.868 24.089 22.485 18.118 21.531 18.974 16.98 19.878 27.084 33.457 22.543 24.425 17.707 16.027 15.963 25.859 33.849 23.254 22.951 23.023 26.488 22.849 33.561
"316" 5 4 1 1 5 5 42.247 29.237 29.869 27.568 40.157 26.188 35.981 45.08 26.98 31.063 26.146 26.699 34.601 39.564 34.273 27.151 40.243 58.452 42.536 32.797 26.243 25.675 28.042 37.619 30.616 47.257 44.93 28.132 37.879 23.371 20.933 39.692 30.466 32.569 42.692 43.449 40.097 38.799 38.627 44.25 67.258 57.229 42.714 46.778 36.075 42.516 39.723 44.342 35.94 44.698 41.106 37.719 39.75 39.044 40.517 43.536 35.099 37.995 36.167 41.234 39.247 34.898 40.941 37.64 35.22 37.392 34.151 36.363 37.643 32.578 34.289 35.013 33.592 35.616 37.515 37.049 40.796 40.403 41.481 41.223 37.544 38.515 38.235 39.639 39.127 43.923 39.84 36.577 43.977 40.633 35.565 31.185 30.909 31.099 30.896 30.924 30.984 31.218 34.332 39.543 37.241 32.229 36.974 38.657 36.935 40.491 41.243 38.187 43.543 43.637 37.965 40.218 41.521 36.637 42.762 35.997 36.697 35.056 40.287 46.294 40.022
